sub,network,corr
sub-177140,Dorsal,0.14433756729740646
sub-177140,Lateral,-0.3779644730092273
sub-177645,Occipital,1.0
sub-177645,Ventral,0.4931969619160719
sub-177645,Dorsal,0.5495318863520542
sub-177645,Lateral,0.07559289460184543
sub-177746,Occipital,1.0
sub-177746,Ventral,0.5337449961641163
sub-177746,Dorsal,0.6688338431011243
sub-177746,Lateral,-0.9899494936611666
sub-178142,Occipital,-0.30151134457776363
sub-178142,Ventral,0.6435852218524316
sub-178142,Dorsal,0.6843881185220807
sub-178142,Lateral,-0.282842712474619
sub-178243,Occipital,1.0
sub-178243,Ventral,0.7000000000000001
sub-178243,Dorsal,-0.24886840673530203
sub-178243,Lateral,-0.37796447300922736
sub-178647,Occipital,1.0
sub-178647,Ventral,0.7000000000000001
sub-178647,Dorsal,0.721687836487032
sub-178647,Lateral,-0.07559289460184543
sub-180533,Occipital,-0.30151134457776363
sub-180533,Ventral,-0.19695964928958382
sub-180533,Dorsal,0.6264442771966493
sub-180533,Lateral,-0.42426406871192845
sub-181232,Occipital,1.0
sub-181232,Ventral,0.30000000000000004
sub-181232,Dorsal,0.6264442771966493
sub-181232,Lateral,-0.07559289460184543
sub-181636,Occipital,1.0
sub-181636,Ventral,-0.9150772842791179
sub-181636,Dorsal,0.35730384010754446
sub-181636,Lateral,-0.282842712474619
sub-182436,Occipital,1.0
sub-182436,Ventral,1.0
sub-182436,Dorsal,0.606217782649107
sub-182436,Lateral,-0.37796447300922736
sub-182739,Occipital,-0.30151134457776363
sub-182739,Ventral,0.5494422557947563
sub-182739,Dorsal,0.09644856443408245
sub-182739,Lateral,0.5428571428571428
sub-185442,Occipital,1.0
sub-185442,Ventral,0.6891891891891893
sub-185442,Dorsal,0.4474464586219599
sub-185442,Lateral,-0.42426406871192845
sub-186949,Occipital,-0.30151134457776363
sub-186949,Ventral,0.5891593474125827
sub-186949,Dorsal,0.38121560413845346
sub-186949,Lateral,0.0
sub-187345,Occipital,1.0
sub-187345,Ventral,-0.2
sub-187345,Dorsal,0.7621594956268627
sub-187345,Lateral,-0.680336051416609
sub-191033,Occipital,-0.30151134457776363
sub-191033,Ventral,0.1643989873053573
sub-191033,Dorsal,0.03436040663720247
sub-191033,Lateral,0.028571428571428636
sub-191336,Occipital,-0.30151134457776363
sub-191336,Ventral,0.8219949365267865
sub-191336,Dorsal,-0.09745361308802564
sub-191336,Lateral,0.3721042037676254
sub-191841,Occipital,1.0
sub-191841,Ventral,1.0
sub-191841,Dorsal,0.5599539151544297
sub-191841,Lateral,-0.07559289460184543
sub-192439,Occipital,1.0
sub-192439,Ventral,0.7000000000000001
sub-192439,Dorsal,0.9499999999999998
sub-192439,Lateral,-0.6571428571428571
sub-192641,Occipital,1.0
sub-192641,Ventral,1.0
sub-192641,Dorsal,0.787167296666456
sub-192641,Lateral,-0.07559289460184543
sub-193845,Occipital,1.0
sub-193845,Ventral,1.0
sub-193845,Dorsal,0.05940885257860046
sub-193845,Lateral,-0.07559289460184543
sub-195041,Occipital,1.0
sub-195041,Ventral,0.8219949365267865
sub-195041,Dorsal,0.8794117647058823
sub-195041,Lateral,-0.42426406871192845
sub-196144,Occipital,1.0
sub-196144,Ventral,0.4931969619160719
sub-196144,Dorsal,0.2666666666666666
sub-196144,Lateral,-0.8315218406203
sub-197348,Occipital,-1.0
sub-197348,Ventral,0.8129497539188609
sub-197348,Dorsal,0.44707694337338544
sub-197348,Lateral,0.5262348115842176
sub-198653,Occipital,1.0
sub-198653,Ventral,0.30000000000000004
sub-198653,Dorsal,0.49773681347060417
sub-198653,Lateral,-0.8285714285714286
sub-199655,Occipital,-0.30151134457776363
sub-199655,Ventral,0.4931969619160719
sub-199655,Dorsal,0.5547209666298896
sub-199655,Lateral,0.7969722925954423
sub-200210,Occipital,-0.30151134457776363
sub-200210,Ventral,0.34641016151377535
sub-200210,Dorsal,0.7129062309432055
sub-200210,Lateral,-0.07559289460184543
sub-200311,Occipital,-0.30151134457776363
sub-200311,Ventral,0.8435503831370605
sub-200311,Dorsal,0.062217101683825535
sub-200311,Lateral,0.282842712474619
sub-200614,Occipital,-0.30151134457776363
sub-200614,Ventral,0.7941013883159838
sub-200614,Dorsal,-0.2227831971697517
sub-200614,Lateral,-0.42426406871192845
sub-201515,Occipital,-0.30151134457776363
sub-201515,Ventral,1.0
sub-201515,Dorsal,-0.1244342033676511
sub-201515,Lateral,0.37142857142857144
sub-203418,Occipital,1.0
sub-203418,Ventral,0.5891593474125827
sub-203418,Dorsal,0.8762805755343567
sub-203418,Lateral,-0.8315218406203
sub-204521,Occipital,1.0
sub-204521,Ventral,0.30000000000000004
sub-204521,Dorsal,0.7154966693639934
sub-204521,Lateral,-0.8315218406203
sub-205220,Occipital,1.0
sub-205220,Ventral,0.8219949365267865
sub-205220,Dorsal,0.7154966693639934
sub-205220,Lateral,-0.37796447300922736
sub-209228,Occipital,1.0
sub-209228,Ventral,0.08219949365267867
sub-209228,Dorsal,0.8166666666666665
sub-209228,Lateral,-0.07559289460184543
sub-212419,Occipital,1.0
sub-212419,Ventral,0.8219949365267865
sub-212419,Dorsal,0.6089407389306547
sub-212419,Lateral,-0.32071349029490925
sub-214019,Occipital,1.0
sub-214019,Ventral,0.3812464258315117
sub-214019,Dorsal,0.6144217949007227
sub-214019,Lateral,0.680336051416609
sub-214524,Occipital,-0.30151134457776363
sub-214524,Ventral,0.08219949365267867
sub-214524,Dorsal,0.43401853995337086
sub-214524,Lateral,0.5061366753560108
sub-221319,Occipital,1.0
sub-221319,Ventral,0.8219949365267865
sub-221319,Dorsal,0.8762805755343567
sub-221319,Lateral,-0.8315218406203
sub-233326,Occipital,-0.30151134457776363
sub-233326,Ventral,0.8534918135881966
sub-233326,Dorsal,0.09332565252573827
sub-233326,Lateral,-0.6
sub-239136,Occipital,-0.30151134457776363
sub-239136,Ventral,0.610733320240746
sub-239136,Dorsal,0.3421940592610404
sub-239136,Lateral,5.551115123125783e-17
sub-246133,Occipital,1.0
sub-246133,Ventral,0.4931969619160719
sub-246133,Dorsal,0.727704665160527
sub-246133,Lateral,0.10690449676496971
sub-249947,Occipital,-0.30151134457776363
sub-249947,Ventral,1.0
sub-249947,Dorsal,0.4733191394312488
sub-249947,Lateral,0.1414213562373095
sub-251833,Occipital,1.0
sub-251833,Ventral,1.0
sub-251833,Dorsal,0.7154966693639934
sub-251833,Lateral,-0.07559289460184543
sub-257845,Occipital,-0.30151134457776363
sub-257845,Ventral,0.961523947640823
sub-257845,Dorsal,0.6999423939430371
sub-257845,Lateral,-0.282842712474619
sub-263436,Occipital,1.0
sub-263436,Ventral,0.4931969619160719
sub-263436,Dorsal,0.5666666666666667
sub-263436,Lateral,-0.9899494936611666
sub-283543,Occipital,1.0
sub-283543,Ventral,0.7000000000000001
sub-283543,Dorsal,0.7277584440878556
sub-283543,Lateral,-0.07559289460184543
sub-318637,Occipital,1.0
sub-318637,Ventral,0.1643989873053573
sub-318637,Dorsal,0.7361215932167728
sub-318637,Lateral,-0.42426406871192845
sub-320826,Occipital,-0.30151134457776363
sub-320826,Ventral,1.0
sub-320826,Dorsal,0.21504560076785773
sub-320826,Lateral,0.7568892626614565
sub-330324,Occipital,1.0
sub-330324,Ventral,0.30000000000000004
sub-330324,Dorsal,0.7419354838709677
sub-330324,Lateral,0.42426406871192845
sub-346137,Occipital,1.0
sub-346137,Ventral,0.7554831017177897
sub-346137,Dorsal,0.057267344395337455
sub-346137,Lateral,0.3779644730092272
sub-352738,Occipital,1.0
sub-352738,Ventral,0.2
sub-352738,Dorsal,0.18619831180962607
sub-352738,Lateral,-0.680336051416609
sub-360030,Occipital,-0.30151134457776363
sub-360030,Ventral,0.02258193760885721
sub-360030,Dorsal,0.19097274212644622
sub-360030,Lateral,0.4857142857142857
sub-365343,Occipital,1.0
sub-365343,Ventral,1.0
sub-365343,Dorsal,0.8911327886790068
sub-365343,Lateral,-0.37796447300922736
sub-380036,Occipital,-0.30151134457776363
sub-380036,Ventral,0.9773555548504416
sub-380036,Dorsal,0.8554851481526009
sub-380036,Lateral,0.07559289460184543
sub-381038,Occipital,1.0
sub-381038,Ventral,0.8219949365267865
sub-381038,Dorsal,0.6089407389306547
sub-381038,Lateral,0.45175395145262565
sub-385046,Occipital,-0.30151134457776363
sub-385046,Ventral,-0.14846149779161802
sub-385046,Dorsal,0.6808823529411763
sub-385046,Lateral,0.4
sub-389357,Occipital,1.0
sub-389357,Ventral,0.023073510088207128
sub-389357,Dorsal,-0.015554275420956415
sub-389357,Lateral,-0.6
sub-393247,Occipital,1.0
sub-393247,Ventral,0.08219949365267867
sub-393247,Dorsal,0.7277584440878555
sub-393247,Lateral,0.29111125486979095
sub-395756,Occipital,1.0
sub-395756,Ventral,0.6099942813304187
sub-395756,Dorsal,0.6350852961085882
sub-395756,Lateral,-0.37796447300922736
sub-397760,Occipital,1.0
sub-397760,Ventral,0.6643711789971676
sub-397760,Dorsal,-0.35000000000000003
sub-397760,Lateral,0.42426406871192845
sub-401422,Occipital,-0.30151134457776363
sub-401422,Ventral,0.5072861478372059
sub-401422,Dorsal,-0.05940885257860045
sub-401422,Lateral,-0.42426406871192845
sub-406836,Occipital,1.0
sub-406836,Ventral,0.32468298914495863
sub-406836,Dorsal,0.6843881185220807
sub-406836,Lateral,0.4
sub-412528,Occipital,-0.30151134457776363
sub-412528,Ventral,0.8435503831370605
sub-412528,Dorsal,0.8554851481526009
sub-412528,Lateral,-0.8285714285714286
sub-429040,Occipital,-0.30151134457776363
sub-429040,Ventral,1.0
sub-429040,Dorsal,0.8554851481526009
sub-429040,Lateral,0.4
sub-436845,Occipital,-0.30151134457776363
sub-436845,Ventral,0.08219949365267865
sub-436845,Dorsal,0.6223827883188373
sub-436845,Lateral,-0.7228063223242012
sub-463040,Occipital,1.0
sub-463040,Ventral,1.0
sub-463040,Dorsal,0.6166666666666667
sub-463040,Lateral,-0.282842712474619
sub-467351,Occipital,-0.30151134457776363
sub-467351,Ventral,0.9863939238321437
sub-467351,Dorsal,0.810545026647788
sub-467351,Lateral,1.0
sub-473952,Occipital,-0.30151134457776363
sub-473952,Ventral,0.7000000000000001
sub-473952,Dorsal,0.37453071432892554
sub-473952,Lateral,0.45175395145262565
sub-525541,Occipital,1.0
sub-525541,Ventral,0.4931969619160719
sub-525541,Dorsal,0.6499999999999999
sub-525541,Lateral,-0.37796447300922736
sub-536647,Occipital,-0.30151134457776363
sub-536647,Ventral,-0.19427980129935551
sub-536647,Dorsal,0.14999999999999997
sub-536647,Lateral,0.282842712474619
sub-541943,Occipital,-0.30151134457776363
sub-541943,Ventral,0.8129497539188609
sub-541943,Dorsal,0.5917840259193663
sub-541943,Lateral,-0.4
sub-547046,Occipital,1.0
sub-547046,Ventral,0.5753964555687505
sub-547046,Dorsal,-0.16666666666666657
sub-547046,Lateral,-0.42426406871192845
sub-552241,Occipital,1.0
sub-552241,Ventral,0.4294194372562356
sub-552241,Dorsal,0.5573704017131537
sub-552241,Lateral,-0.37796447300922736
sub-562345,Occipital,1.0
sub-562345,Ventral,0.8219949365267865
sub-562345,Dorsal,0.8131657470098526
sub-562345,Lateral,0.3779644730092272
sub-572045,Occipital,1.0
sub-572045,Ventral,1.0
sub-572045,Dorsal,0.37130532861625287
sub-572045,Lateral,-0.02857142857142861
sub-573249,Occipital,1.0
sub-573249,Ventral,0.7000000000000001
sub-573249,Dorsal,0.6066167414172988
