label,V1v,V1d,V2v,V2d,V3v,V3d,hV4,VO1,VO2,PHC1,PHC2,MST,hMT,LO2,LO1,V3a,V3b,IPS0,IPS1,IPS2,IPS3,IPS4,IPS5,SPL1
hMT,0.39558844354865297,0.42443012748778897,0.34938104013538196,0.423844135158238,0.3495649806273612,0.4349557224172649,0.22728119914169234,0.2754329055553653,0.2815243759356114,0.26013788850595343,0.26808401763889295,0.4835239748178044,1.0,0.4585583646704901,0.4149393374962206,0.4473034118406458,0.4711203877811435,0.49156999725284456,0.4094560377141139,0.34305561899650316,0.3678420486894463,0.3328574678522048,0.3673075349770393,0.2666727589129848
LO2,0.40441786691821263,0.463727696742603,0.3569109026480465,0.4411732777042049,0.31514769001380755,0.42781294825370353,0.23279425007745674,0.2595332877155577,0.25029022440520315,0.2436583027259179,0.2217423280576013,0.3876786521949769,0.4585583646704901,1.0,0.45304098559906303,0.42688931546150044,0.43009063231331013,0.416702634089094,0.3619488974743224,0.30983503063761253,0.27098274257107985,0.2774730527673584,0.32385964579336257,0.21072147943449024
LO1,0.44014510612453694,0.45297635231714006,0.3419947906965095,0.4619460522068296,0.3532446018505352,0.42806119839104884,0.24760168481411166,0.2863780513870498,0.2862558195665348,0.23985029753117731,0.25920835419212235,0.403694336342813,0.4149393374962206,0.45304098559906303,1.0,0.41613467466082976,0.4221231334851613,0.4109849807546439,0.35379514212623464,0.3236254814283352,0.31660021037359676,0.3134912852054107,0.3306721955852475,0.22250635191296064
V3a,0.3932703457278247,0.41302203054975956,0.34076105174949756,0.43774743592208476,0.3551101686906738,0.4544441915717121,0.24032012364248162,0.3136629175825064,0.2823179918186398,0.24893440989455595,0.2338750998000936,0.37945013149331963,0.4473034118406458,0.42688931546150044,0.41613467466082976,1.0,0.4938933697054282,0.4969976309958177,0.45511086582249916,0.3780405727596567,0.34380182270629095,0.3423100213712093,0.36499212771244305,0.27336438756949244
V3b,0.4809696711720573,0.5069176124612788,0.4463516756681637,0.5118911679969003,0.4035532741573845,0.5123764715321909,0.26200651345984577,0.32453149260638936,0.36696757980467265,0.31160465160533796,0.32338886753172336,0.4433843773633481,0.4711203877811435,0.43009063231331013,0.4221231334851613,0.49389336970542824,1.0,0.5654497125741529,0.4949793149875012,0.418575305997284,0.36397666016134267,0.3770803602172111,0.41711351808194747,0.29435192182756453
IPS0,0.4555279661018974,0.46786945821186177,0.4190580516943818,0.4440906262469208,0.4027586521471427,0.4398285328660676,0.26346603081214737,0.343309236482481,0.35282822404311875,0.32647021784346497,0.33713103228509156,0.47162037755021846,0.49156999725284456,0.41670263408909397,0.4109849807546439,0.4969976309958177,0.565449712574153,1.0,0.6311656224196787,0.5432448172485967,0.5083576950232294,0.5061110542248444,0.5192256118164618,0.36623835518768744
IPS1,0.41563030509604426,0.4048728064281275,0.3818721559414003,0.39188278921852904,0.3452753450390198,0.3855384769417986,0.23120470153543785,0.2797393510479892,0.322374368429313,0.2687099723255125,0.292446879245867,0.37978358564940007,0.4094560377141139,0.3619488974743224,0.35379514212623464,0.45511086582249927,0.4949793149875012,0.6311656224196787,1.0,0.5945759505162151,0.5440645779962061,0.502296655660522,0.5441093168148388,0.4147407212857638
IPS2,0.3577109441579946,0.3331744359927751,0.3416296543483395,0.30175820988320645,0.31293181816478555,0.3131109226404093,0.210410766795496,0.2489098901458193,0.2593340105007511,0.22174731761656563,0.237610464794321,0.31794638858179414,0.34305561899650316,0.3098350306376126,0.3236254814283352,0.3780405727596567,0.418575305997284,0.5432448172485966,0.5945759505162151,1.0,0.5830993824081829,0.49557396507958396,0.5327388250797142,0.47732158331299646
IPS3,0.3334145824434531,0.3096686348437293,0.3354302805465259,0.3131563081099954,0.27668949870523807,0.298050078037644,0.1772936406245193,0.260301772003687,0.2552731456048988,0.21837221236420473,0.22418661431501305,0.3048162117103283,0.3678420486894463,0.27098274257107985,0.31660021037359676,0.3438018227062909,0.36397666016134267,0.5083576950232294,0.5440645779962061,0.5830993824081829,1.0,0.5007615522529332,0.5056201412281727,0.47953795581878456
IPS4,0.34989297087287874,0.30000053796431336,0.30859913548679196,0.29706998350232033,0.297067245359953,0.2995199251235527,0.180371563066824,0.25726930108343127,0.25977588323648343,0.2520800954148945,0.24287434994905333,0.34413949499492913,0.3328574678522048,0.2774730527673584,0.3134912852054108,0.3423100213712093,0.3770803602172111,0.5061110542248444,0.502296655660522,0.49557396507958396,0.5007615522529332,1.0,0.522156352276103,0.417027672188714
IPS5,0.3898279762593011,0.351167702236756,0.3386394001769799,0.32155336112238364,0.31227552791739244,0.342316411718408,0.197335208016076,0.2607606233500374,0.2854146140072533,0.22887147319374254,0.25290772150805896,0.3738638984295687,0.3673075349770393,0.32385964579336257,0.33067219558524763,0.36499212771244305,0.41711351808194747,0.5192256118164618,0.5441093168148388,0.5327388250797142,0.5056201412281727,0.522156352276103,1.0,0.36807420195020246
SPL1,0.2390437207640712,0.2358688418626222,0.25937320208057746,0.2556313669555428,0.21939229221619175,0.25406823357899055,0.150014784738434,0.1730998351930948,0.18934323945352793,0.15746548259539794,0.16683112342587086,0.22508600835390774,0.2666727589129848,0.21072147943449024,0.22250635191296064,0.27336438756949244,0.29435192182756453,0.3662383551876875,0.4147407212857638,0.47732158331299646,0.47953795581878467,0.417027672188714,0.36807420195020246,1.0
