label,V1v,V1d,V2v,V2d,V3v,V3d,hV4,VO1,VO2,PHC1,PHC2,LO1,LO2,hMT,MST,V3a,V3b,IPS0,IPS1,IPS2,IPS3,IPS4,IPS5,SPL1
PHC2,0.2820569617472177,0.2712730419141236,0.2793098911589226,0.22775941674956646,0.26496148611256626,0.21301546733848786,0.11406243942831405,0.21085223036129405,0.2994311914842557,0.2892333391656171,1.0,0.2233132150444006,0.2508325925241798,0.20798823742585465,0.2022584322696279,0.24544581324092452,0.2570318970440056,0.29893362715856575,0.26389736006635256,0.2372708890543973,0.21274578045641002,0.22572481451873444,0.21762726143175298,0.15447416401369696
LO1,0.393270767526145,0.37600357961508896,0.36667861654643186,0.340025652037767,0.3463670504318367,0.3025588777508364,0.2180608123910098,0.28388827246705595,0.2804840443250296,0.2595775182466676,0.2233132150444006,1.0,0.4723907605600342,0.3784564383170492,0.3733995430887627,0.3915059343341757,0.43480485496353705,0.44575126756610445,0.37118630770900074,0.3017427938000131,0.26433374169966684,0.34774036443885625,0.31496181955639113,0.2312791503827591
LO2,0.37675313612945216,0.4187853587866111,0.31931740465542574,0.4143689052432806,0.33146286523109836,0.42848843297625305,0.19804131814486114,0.2850083090305732,0.32578342430064533,0.24896985392744497,0.2508325925241798,0.4723907605600342,1.0,0.4698442099109371,0.39397038813201546,0.4218252754169223,0.45432729597992194,0.492154201495416,0.40123548138127135,0.3321844652433209,0.3466052981104629,0.3668049909219644,0.3275630788707874,0.2834301787304634
hMT,0.38050175107535056,0.399108561229497,0.3302286318684161,0.4144857110510865,0.30139958817260004,0.4126257649610288,0.20468751505303934,0.26167164001097976,0.24050726710026238,0.2160998101814573,0.2079882374258547,0.3784564383170493,0.4698442099109371,1.0,0.4177654151008001,0.4213381373800088,0.4536154133402178,0.4397373119219853,0.38900102974265305,0.32323941123350186,0.31679563855759085,0.3266007783701232,0.31809883249912396,0.2214112233760115
MST,0.420055431168855,0.45577389639842886,0.32216225024081274,0.4718239027348038,0.30363611218914466,0.4995011822502029,0.22322112795668594,0.24118499171194827,0.25561876608447553,0.2066383730305654,0.2022584322696279,0.3733995430887628,0.39397038813201546,0.4177654151008001,1.0,0.4443080743252882,0.43842592242445877,0.4186448938435219,0.34354219460728114,0.26346268072296863,0.30266906538604543,0.3204313262792585,0.3189061868609293,0.23872764096650825
V3a,0.40184276888502707,0.4484128956293114,0.3078455447889751,0.4345848920543567,0.3208228486812355,0.46676889973379115,0.22127236442235498,0.2902114456396654,0.28094200363309135,0.22980274826926078,0.24544581324092452,0.3915059343341758,0.4218252754169224,0.4213381373800088,0.44430807432528807,1.0,0.5097338488495557,0.5252439170862178,0.4488085906970716,0.37567856307206166,0.38590786758618184,0.38231947751299644,0.36405225399081226,0.2924935680270784
V3b,0.49082434823503535,0.5420019077554111,0.42581978777388907,0.5330058571318574,0.4060141245126969,0.5024858514282109,0.21360434264198597,0.32581222657928743,0.349781467862724,0.3003711621275939,0.25703189704400553,0.43480485496353705,0.45432729597992194,0.45361541334021793,0.43842592242445877,0.5097338488495557,1.0,0.5426808283925398,0.5061744487389077,0.36988367794418014,0.37207767125316443,0.39425035971869005,0.3830887017595022,0.2685642381499894
IPS0,0.43185227152185557,0.4854233121567606,0.409499772541544,0.4387919517106633,0.3709142512651035,0.42970654135548625,0.23272612856656405,0.3048671277551702,0.3197055314061761,0.30536155741580623,0.29893362715856575,0.44575126756610445,0.492154201495416,0.4397373119219853,0.4186448938435219,0.5252439170862178,0.5426808283925398,1.0,0.6776658900792096,0.5438860529175384,0.5181931481727431,0.5298233815938156,0.5196105438689046,0.36214595090114043
IPS1,0.3835045642564844,0.41815720199567186,0.31966629777819144,0.3595266253013763,0.3054565276530967,0.36805519222384664,0.2151635748107607,0.24350761314874958,0.24898273008981658,0.22536034960468154,0.26389736006635256,0.3711863077090008,0.40123548138127135,0.38900102974265305,0.34354219460728114,0.4488085906970716,0.5061744487389077,0.6776658900792096,1.0,0.616755982463809,0.5847932370227493,0.5299136659071639,0.5684406985642778,0.4021679892941491
IPS2,0.2951771725695,0.3135199706339691,0.2921563413988802,0.32900584432006497,0.2533754237300695,0.2993205228533615,0.16596000568480218,0.2081933354045348,0.2251353775162671,0.2112270712777934,0.2372708890543973,0.3017427938000131,0.3321844652433209,0.32323941123350186,0.26346268072296863,0.3756785630720617,0.36988367794418014,0.5438860529175384,0.6167559824638091,1.0,0.5738849007868414,0.5277419661547207,0.5692796136863821,0.4731916315526894
