,V1d,V1v,V2d,V2v,V3d,V3v,hV4,VO1,VO2,PHC1,PHC2,LO1,LO2,hMT,MST,V3a,V3b,IPS0,IPS1,IPS2,IPS3,IPS4,IPS5,SPL1
PHC2,0.2723394436334873,0.2648701081316734,0.2371941617758995,0.29925092471756015,0.22801348200499577,0.2711118525454293,0.13928570483075103,0.20539289229002972,0.2994311914842557,0.28684666014219956,0.2879326373583862,0.2301956974357892,0.24125287268824816,0.20125385423014616,0.22274400284609056,0.24515498882998785,0.2766114715638178,0.28495900506764893,0.2662410624317052,0.25013663686157483,0.2243178190802368,0.22893637238576825,0.2204732078418405,0.1614957580935974
LO1,0.37855385465394514,0.38505136047597344,0.3601769238858244,0.3828693199998676,0.2925445599056906,0.3581719373730323,0.2417317815982551,0.3164092261194692,0.29238839887312806,0.2666847762614931,0.2301956974357892,0.4666061298748992,0.4822226707144287,0.383810055905088,0.3974866595224942,0.39162323126861187,0.4423155087197951,0.45319226346509606,0.390722731765696,0.30849884853471,0.2802307244042634,0.3606147926005909,0.3238182588047934,0.2417707305864392
LO2,0.41440189816929107,0.3821115618355659,0.40456231928665876,0.3249454422127963,0.422245756085745,0.35555922414379,0.2202344366138723,0.29699855108033746,0.3263100346005897,0.2548214048537423,0.24125287268824816,0.48222267071442876,0.5312676177334659,0.4657859469697041,0.41673682206399554,0.4218252754169223,0.45178346308238865,0.49137310904063336,0.415849241260818,0.3419850224602261,0.3538192972358605,0.3515909675230128,0.33490399277145266,0.28806095394798203
hMT,0.4187282882823189,0.374910802916923,0.41179643351996476,0.33987208655173606,0.43413837303068514,0.32114958909604563,0.2408025719462107,0.2610244623451658,0.24488059682677865,0.20585766529986327,0.20125385423014616,0.383810055905088,0.4657859469697041,0.4404127697194783,0.4192694879318458,0.44503307219834004,0.4516353738559423,0.445926805824782,0.39550205033849406,0.3321237359822041,0.3157790271180755,0.31382577627668184,0.3349213727423319,0.2207278622915444
MST,0.45868412492021016,0.43014310091246644,0.47358138643927083,0.3533276552771599,0.47580627055298136,0.31179876969785303,0.2734698534444546,0.2767914761364353,0.26532956655576645,0.2137610311299607,0.2227440028460905,0.3974866595224942,0.41673682206399554,0.4192694879318458,0.4538051244624162,0.43824049086455424,0.4595326891037133,0.4383209797530762,0.36048701269664907,0.27389142882445816,0.310417614315213,0.3241646117767777,0.3114741180387157,0.2177470271176048
V3a,0.43855992893216256,0.4014107972193889,0.44276312457783124,0.31731678690312126,0.4522189368482145,0.3321951583339807,0.22361563131148326,0.28631114626898785,0.2876267306333653,0.23748058736446898,0.2451549888299879,0.39162323126861187,0.4218252754169224,0.44503307219834004,0.43824049086455424,0.4505827491719139,0.5097338488495557,0.5243514871416147,0.44329464831785254,0.37279319487836027,0.3629972057110512,0.36847326138000663,0.36698521789085514,0.28857183103055417
V3b,0.5549549399952005,0.4892563833805914,0.538025976231229,0.4368735921093485,0.5084271341172335,0.42190735357735387,0.25046728251061473,0.3551146255444939,0.36856935350477077,0.31718872311336693,0.2766114715638177,0.4423155087197951,0.45178346308238876,0.4516353738559423,0.45953268910371337,0.5097338488495557,0.582071916453686,0.5513963522394729,0.5061303769198545,0.3934155274235691,0.39177669350002586,0.39305984663950005,0.37506115491929015,0.27421265927890753
IPS0,0.48306012657727915,0.42296258402505826,0.42481910403120227,0.42009647269286954,0.4479275103608027,0.3774269537085032,0.2318438410024536,0.3181067857669837,0.3258048164905375,0.2918163864592958,0.28495900506764893,0.45319226346509606,0.49137310904063336,0.44592680582478195,0.43832097975307627,0.5243514871416147,0.5513963522394729,0.6677038639971276,0.6787331625189857,0.5522495053203356,0.5221715843498579,0.4986960466128762,0.5134552334613556,0.3492451350388342
IPS1,0.4199623902067241,0.3835045642564844,0.36784748796951494,0.32758746200467065,0.3828288767111293,0.3015391537203116,0.20991328485803623,0.26203545636717757,0.25329685659752404,0.22264173429226256,0.2662410624317052,0.390722731765696,0.415849241260818,0.39550205033849406,0.36048701269664907,0.44329464831785254,0.5061303769198545,0.6787331625189857,0.703512327800057,0.6327172824987984,0.5630929194252092,0.5396671210422348,0.5678314129958136,0.42093671260460586
IPS2,0.31667367496795523,0.31040429409483283,0.3544203894568533,0.31089833054196564,0.32902484691256273,0.2506679248136061,0.15461282750061706,0.2063604520291305,0.22483253087734625,0.20744321671374785,0.25013663686157483,0.30849884853471,0.3419850224602261,0.3321237359822041,0.27389142882445816,0.37279319487836027,0.3934155274235691,0.5522495053203356,0.6327172824987984,0.6140721788060637,0.5843065751784982,0.528840583226911,0.5743107742571205,0.48632595332051143
